loghpi_nonmetro,numpro_casecat_12,missing_cy_12,numcasecat_12,noncasecat_12,year,circuit,numpanelsx1x_dem,numpanels1x_dem,numpanels2x_dem,numpanels3x_dem,numpanelsx1x_female,numpanels1x_female,numpanels2x_female,numpanels3x_female,numpanelsx1x_nonwhite,numpanels1x_nonwhite,numpanels2x_nonwhite,numpanels3x_nonwhite,numpanelsx1x_black,numpanels1x_black,numpanels2x_black,numpanels3x_black,numpanelsx1x_jewish,numpanels1x_jewish,numpanels2x_jewish,numpanels3x_jewish,numpanelsx1x_catholic,numpanels1x_catholic,numpanels2x_catholic,numpanels3x_catholic,numpanelsx1x_noreligion,numpanels1x_noreligion,numpanels2x_noreligion,numpanels3x_noreligion,numpanelsx1x_instate_ba,numpanels1x_instate_ba,numpanels2x_instate_ba,numpanels3x_instate_ba,numpanelsx1x_ba_public,numpanels1x_ba_public,numpanels2x_ba_public,numpanels3x_ba_public,numpanelsx1x_jd_public,numpanels1x_jd_public,numpanels2x_jd_public,numpanels3x_jd_public,numpanelsx1x_llm_sjd,numpanels1x_llm_sjd,numpanels2x_llm_sjd,numpanels3x_llm_sjd,numpanelsx1x_elev,numpanels1x_elev,numpanels2x_elev,numpanels3x_elev,numpanelsx1x_female_black,numpanels1x_female_black,numpanels2x_female_black,numpanels3x_female_black,numpanelsx1x_female_noreligion,numpanels1x_female_noreligion,numpanels2x_female_noreligion,numpanels3x_female_noreligion,numpanelsx1x_black_noreligion,numpanels1x_black_noreligion,numpanels2x_black_noreligion,numpanels3x_black_noreligion,numpanelsx1x_female_jd_public,numpanels1x_female_jd_public,numpanels2x_female_jd_public,numpanels3x_female_jd_public,numpanelsx1x_black_jd_public,numpanels1x_black_jd_public,numpanels2x_black_jd_public,numpanels3x_black_jd_public,numpanelsx1x_noreligion_jd_pub,numpanels1x_noreligion_jd_pub,numpanels2x_noreligion_jd_pub,numpanels3x_noreligion_jd_pub,numpanelsx1x_male,numpanels1x_male,numpanels2x_male,numpanels3x_male,numpanelsx1x_male_jd_public,numpanels1x_male_jd_public,numpanels2x_male_jd_public,numpanels3x_male_jd_public,numpanelsx1x_mainline,numpanels1x_mainline,numpanels2x_mainline,numpanels3x_mainline,numpanelsx1x_evangelical,numpanels1x_evangelical,numpanels2x_evangelical,numpanels3x_evangelical,numpanelsx1x_protestant,numpanels1x_protestant,numpanels2x_protestant,numpanels3x_protestant
4.63122749328613,0,1,0,7392,1995,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.58455944061279,0,1,0,7392,1995,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.63171482086182,0,1,0,7392,1995,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.6007604598999,0,1,0,7392,1995,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.63521432876587,0,1,0,7392,1995,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.59096956253052,0,1,0,7392,1995,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.60517024993896,0,1,0,7392,1995,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.62702941894531,0,1,0,7392,1995,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.64458322525024,0,1,0,7392,1995,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.60786628723145,0,1,0,7392,1995,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
